nombre,tipo,precio,barrio,lat,long
Restaurante Chulla Ville,restaurante,Medio,Rosas,40.4317775,-3.6095751
Noi Due Ristorante Pizzeria,restaurante,Medio,Arapiles,40.4368161,-3.7085659
Asador Avelino,restaurante,Medio,Buenavista,40.3721524,-3.7551029
La Carbonera,restaurante,Medio,No encontrado,,
Casa Benigna,restaurante,Alto,Ciudad Jardín,40.4480719,-3.6743241
Trattoria Adriana,restaurante,Bajo,No encontrado,,
Pez Tortilla,restaurante,Bajo,No encontrado,,
Wok Garden Parrilla,restaurante,Medio,No encontrado,40.3501987,-3.8474245
Mu! El Placer De La Carne,restaurante,Medio,No encontrado,,
Hot Now,restaurante,Medio,Justicia,40.4213703,-3.6979947
Mercado de San Miguel,restaurante,Medio,No encontrado,,
La Bella Anna,restaurante,Medio,Mirasierra,40.5037656,-3.7109163
Restaurante Marina Ventura,restaurante,Medio,Cortes,40.4153709,-3.6989014
desengaño13,restaurante,Medio,Sol,40.4210185,-3.7043409
Los Montes de Galicia,restaurante,Medio,No encontrado,,
GO!Sushing Getafe,restaurante,Medio,No encontrado,,
Casa Jaguar Madrid,restaurante,Medio,No encontrado,,
Aura Cafe,restaurante,Medio,No encontrado,,
Le Coq Atocha,restaurante,Medio,Embajadores,40.4133316,-3.7010547
Cafeteria HD,restaurante,Medio,Gaztambide,40.4360368,-3.7132048
Casa Macareno,restaurante,Medio,Universidad,40.4258981,-3.7048334
Oter Epicure,restaurante,Medio,Recoletos,40.4224667,-3.686977
Xiaolongkan Hot Pot,restaurante,Medio,Legazpi,40.3903916,-3.6948041
Panaria,restaurante,Medio,No encontrado,,
MY Pasta Room,restaurante,Medio,Universidad,40.4253956,-3.703005727508269
Pizzeria Fratelli Figurato,restaurante,Bajo,Almagro,40.4389491,-3.6978327
Everest Curry House,restaurante,Medio,Valverde,40.500384,-3.6904552
Da Nicola Gran Vía,restaurante,Medio,No encontrado,,
That's Amore,restaurante,Medio,Justicia,40.4220213,-3.6989735
Alduccio,restaurante,Medio,El Viso,40.4518121,-3.6881503
Restaurante La Vanduca,restaurante,Medio,Jerónimos,40.4210631,-3.6881291
Pans & Company,restaurante,Bajo,No encontrado,,
Trattoria In Crescendo,restaurante,Medio,Chopera,40.39472105,-3.698131648171755
Fasfú Burguers,restaurante,Bajo,Justicia,40.4213416,-3.6983741
MEGU,restaurante,Medio,No encontrado,,
Fratelli d'italia Lavapiés,restaurante,Bajo,No encontrado,19.3386613,-99.0036553
Piccola Napoli,restaurante,Medio,No encontrado,,
La Taberna de Francesco,restaurante,Bajo,Rios Rosas,40.4419464,-3.696326724028965
Bowlers Kitchen,restaurante,Medio,No encontrado,,
El Brasero de Don Pedro,restaurante,Alto,Rejas,40.4493265,-3.571238224305556
nonsolocaffé,restaurante,Medio,Rios Rosas,40.4415315,-3.695821690588716
Solito Taqueria,restaurante,Medio,Palacio,40.4142895,-3.708957
Restaurante La Rita,restaurante,Medio,No encontrado,,
Asia Te,restaurante,Medio,Castilla,40.4707986,-3.6852032
Diaz y Larrouy,restaurante,Medio,Acacias,40.40392185,-3.701302795617484
Mad by Robleño,restaurante,Medio,Castellana,40.4345345,-3.682570563157822
El Cunzato,restaurante,Bajo,Embajadores,40.4117321,-3.6984768
Crudo,restaurante,Medio,No encontrado,,
La Lonja Restaurante,restaurante,Medio,No encontrado,,
Federica By Chef Oswaldo Sanchez,restaurante,Medio,No encontrado,,
