restaurante,gastronomia,precio,opinion,reseña,ubicacion,Lat&Lon
Oven Mozzarella Gran Vía 55,Italiana,Medio,2264 opiniones,Comida en familia,"C.Gran Vía, 55, 28013 Madrid","(40.4216379, -3.7084213)"
Amordmadre,Mediterránea,Medio,428 opiniones,RECOMENDADO 100%,"C. de la Sierra de Palomeras, 40, 28031 Madrid","(40.3750349, -3.6256439)"
Campesino Burger Al Carbón,Americana,Bajo,239 opiniones,Buena materia prima a un precio razonable,"C. de Atocha, 111, 28012 Madrid","(40.4104634, -3.6948924)"
Camino Sacramento,Restaurante de carne,Medio,430 opiniones,Gran lugar para comer bien,"de El Corte Inglés de Callao zona Gourmet Experience, Pl. del Callao, 2, 9ª planta, 28013 Madrid",
Restaurante Ático,Mediterránea,Alto,1123 opiniones,Inmejorable,"C. del Marqués de Valdeiglesias, 1, 28004 Madrid","(40.4193652, -3.6971316)"
GastroVía 61,Mediterránea,Medio,2039 opiniones,Genial,"Hotel Mayorazgo, C. de la Flor Baja, 3, 28013 Madrid",
Massa Pizza,Italiana,Medio,452 opiniones,"Buena pizza, buena atención 👌🏼","C. de Fernández de los Ríos, 47, 28015 Madrid","(40.4351596, -3.7108818)"
Yatai Market,Tentempiés,Medio,335 opiniones,Mercado con espíritu oriental,"Calle del Dr Cortezo, 10, 28012 Madrid","(40.41308265, -3.703991681218869)"
La Piperna,Italiana,Medio,478 opiniones,Excelente comida y amplia carta de vinos,"C. de la Infanta Mercedes, 98, 28020 Madrid","(40.4638524, -3.6928837)"
MICASITA BUVETTE,Mediterránea,Medio,115 opiniones,Tercio frío,"C. de Gutenberg, 6, 28014 Madrid","(40.405018749999996, -3.681200689936439)"
Trattoria La Tavernetta,Italiana,Medio,326 opiniones,Excelente,"C. de Orellana, 17, 28004 Madrid","(40.4261186, -3.6941121)"
Burmet,Mexicana,Medio,89 opiniones,No quebró,,"(44.933143, 7.540121)"
Poké Friendly,Japonesa,Medio,53 opiniones,Muy rico y muy contentos!,,"(44.933143, 7.540121)"
Nacho Bravo,Mexicana,Bajo,157 opiniones,Rico rico,"Paseo de las Delicias, 139, 28045 Madrid","(40.3920567, -3.6946390450983797)"
Restaurante La Gaditana,Mediterránea,Medio,2384 opiniones,Buen bar cerca del wizink,,"(44.933143, 7.540121)"
Queen Burger Gourmet,Italiana,Medio,289 opiniones,Hamburguesas muy buenas,,"(44.933143, 7.540121)"
Santita Fuencarral,Mexicana,Medio,1072 opiniones,Comida sabrosa y cócteles de rechupete,,"(44.933143, 7.540121)"
Yakitoro Castellana,Japonesa,Medio,2262 opiniones,Mejor de lo esperado,"P.º de la Castellana, 130, 28046 Madrid","(40.4501985, -3.6901909)"
La Capricciosa Italiana,Italiana,Bajo,122 opiniones,Muy rico todo,"C. de las Maldonadas, 4, 28005 Madrid","(40.4110151, -3.707641545906433)"
Restaurante Luxury,China,Medio,546 opiniones,pato trufa .nigri.uramakir,"Calle de Sandoval, 18, 28010 Madrid","(40.4302666, -3.704908)"
Lafayette,Francesa,Medio,200 opiniones,Buena opción,,"(44.933143, 7.540121)"
La Tabarra Madrid,Bar,Medio,71 opiniones,Camarero muy atento i eficiente.,"C. de Guzmán el Bueno, 50, 28015 Madrid","(40.4358894, -3.7129806)"
Bar Selva,Mediterránea,Bajo,175 opiniones,Buen sitio para ir de menú,,"(44.933143, 7.540121)"
Impasta,Italiana,Medio,66 opiniones,Varios días en Madrid,,"(44.933143, 7.540121)"
Viva Chapata,Bar,Medio,184 opiniones,Comida vegana en Lavapies,"C. del Ave María, 43, 28012 Madrid","(40.4094543, -3.7009105)"
El Cocodrilo,Bar,Medio,226 opiniones,Buen sitio para ir con amigos. Buena carne,,"(44.933143, 7.540121)"
Passaparola L´Originale,Italiana,Medio,300 opiniones,Italiano DELICIOSO!!,"C. de Guareña, 10, 28044 Madrid","(40.3878815, -3.7660957)"
L' Incanto Gastrobar,Italiana,Medio,25 opiniones,"No hay palabras a la lengua, para describir lo rico que esta","C. de Eraso, 14, 28028 Madrid","(40.4340666, -3.6710249)"
Pasta Mito,Italiana,Medio,221 opiniones,Comida italiana,"C. de Bolivia, 9, 28016 Madrid","(40.4575854, -3.6784512)"
Taberna el Sur,Bar,Medio,8580 opiniones,Excelente calidad,,"(44.933143, 7.540121)"
Propaganda,Italiana,Medio,135 opiniones,Italiano acogedor,,"(44.933143, 7.540121)"
Pituca Lounge,Bares y pubs,Medio,185 opiniones,Recomendado 100%,"P.º del Pintor Rosales, 24, 28008 Madrid","(40.4265242, -3.7190804)"
Divina Dolores,Internacional,Medio,63 opiniones,Excelente restaurante,"Av. del Monasterio de El Escorial, 10, 12, 28949 Madrid",
Puccias | Sandwichería Delicatessen,Comida rápida,Medio,72 opiniones,100% recomendable,"C. de la Libertad, 9, 28004 Madrid","(40.4207109, -3.6974311)"
Lamucca de Prado,Italiana,Medio,1958 opiniones,Sorprendente,"C. del Prado, 16, 28014 Madrid","(40.4146932, -3.698712851549911)"
El Rincon del Cabo,Bar,Medio,394 opiniones,Chulo,"C. de Lavapiés, 8, 28012 Madrid","(40.4116527, -3.7030479)"
Sublime Dreams Food,Americana,Medio,243 opiniones,MUY BIEN,"C. Oslo, 53, 28922 Alcorcón, Madrid","(40.33970455, -3.8476277532704177)"
WelkhomeClub,Latina,Bajo,168 opiniones,Welcome Club lugar para pasarla increíble,"Calle del Monte Esquinza, 15, 28010 Madrid",
niMÚ Barquillo,Mediterránea,Medio,870 opiniones,"Comida muy rica, ambiente clásico",,"(44.933143, 7.540121)"
Mesón Molinero,Restaurante de carne,Medio,376 opiniones,Grandioso,"C. de la Alhambra, 72, 28047 Madrid","(40.3972995, -3.7441719)"
Bahía Taberna,Internacional,Medio,1478 opiniones,"comida buena, servicio tb pero algo caro",,"(44.933143, 7.540121)"
Lazzarella,Italiana,Medio,60 opiniones,"Es posible volver,",,"(44.933143, 7.540121)"
López & López Pizzería,Italiana,Bajo,167 opiniones,Pizzas originales y riquísimas,,"(44.933143, 7.540121)"
Steakburger Gran Vía 55,Americana,Medio,1512 opiniones,"buena comida y una gran atención por parte de Ricki el camarero, subirle el sueldo por favor","C.Gran Vía, 55, 28013 Madrid","(40.4216379, -3.7084213)"
Tempus Restaurante,Peruana,Medio,33 opiniones,Repetiría una y mil veces,,"(44.933143, 7.540121)"
Gato Gato,Mediterránea,Medio,134 opiniones,Fantástico descubrimiento,"C. del Marqués de Toca, 6, 28012 Madrid","(40.410177, -3.6962005)"
Naomi,Japonesa,Medio,763 opiniones,Muy bueno,"C. de Ávila, 14, 28020 Madrid","(40.452562650000004, -3.7005787678098674)"
Restaurante La Malontina,Internacional,Medio,2196 opiniones,Pequeño local con muy buen producto,"C. de la Verónica, 4, 28014 Madrid","(40.411756749999995, -3.6954293222344576)"
Restaurante Étimo by Begoña Fraire,Mediterránea,Alto,887 opiniones,Un maravilloso restaurante,,"(44.933143, 7.540121)"
Caro Club,Bares y pubs,Alto,37 opiniones,Buen servicio y diversión,,"(44.933143, 7.540121)"
Sushi Tokami,China,Medio,66 opiniones,Buen buffet asiático,"Calle de Modesto Lafuente, 88, 28003 Madrid","(40.4458894, -3.6955555)"
